"","Nombre","Edad","Altura","Peso","Nacionalidad","Equipo","Posición","Partidos","Minutos por partido","Goles","Asistencias","Targetas","Puntos","Puntos local","Puntos visitante","Media total","Media local","Media visitante","Valor de Comunio","Valor de mercado"
"259","Enes Ünal","23","1.85","75","Turquía","getafe","delanteros","20",39,"1","2","3","69","40",29,"3.6","3.6","3.6","1 270 000","7"
"260","Pjanic","31","1.80","70","Bosnia","barcelona","centrocampistas","17",35,"0","0","1","68","36",32,"4.0","3.6","4.6","1 520 000","30"
"263","Gudelj","29","1.87","73","Serbia","sevilla","centrocampistas","22",37,"0","0","6","68","36",32,"3.8","4.0","3.6","850 000","6"
"264","Toni Villa","26","1.71","63","España","valladolid","centrocampistas","18",44,"2","0","2","68","44",24,"3.8","5.5","2.4","830 000","2"
"265","Esteban Burgos","29","1.88","77","Argentina","eibar","defensas","13",79,"3","1","5","68","16",52,"5.2","3.2","6.5","820 000","3"
"266","Bigas","31","1.80","78","España","eibar","defensas","20",76,"0","0","1","68","40",28,"3.4","4.0","2.8","810 000","2"
"267","Nyom","32","1.90","81","Camerún","getafe","centrocampistas","26",76,"0","2","10","68","37",31,"2.7","2.6","2.8","750 000","3"
"269","Deyverson","29","1.85","82","Brasil","alaves","delanteros","21",40,"1","2","3","67","35",32,"3.5","3.9","3.2","650 000","3"
"270","Sandro Ramírez","25","1.75","71","España","huesca","delanteros","12",57,"4","1","1","65","34",31,"5.4","5.7","5.2","1 740 000","3"
"271","Gameiro","33","1.72","70","Francia","valencia","delanteros","20",40,"3","1","0","64","25",39,"3.2","2.8","3.5","1 740 000","4"
"272","Coutinho","28","1.72","71","Brasil","barcelona","centrocampistas","12",55,"2","2","0","64","47",17,"5.3","6.7","3.4","1 710 000","42"
"273","Dani Calvo","27","1.90","82","España","elche","defensas","16",72,"2","0","2","64","31",33,"4.3","4.4","4.1","1 220 000","940K €"
"274","Sergio Postigo","32","1.85","78","España","levante","defensas","18",72,"0","0","3","64","36",28,"3.6","4.5","2.8","750 000","1"
"275","Okazaki","34","1.74","70","Japón","huesca","delanteros","21",50,"1","1","1","64","29",35,"3.2","2.9","3.5","740 000","1"
"276","Emiliano Rigoni","28","1.80","72","Argentina","elche","centrocampistas","20",53,"1","1","4","63","33",30,"3.3","3.3","3.3","980 000","3"
"279","Lucas Torreira","25","1.68","60","Uruguay","atletico","centrocampistas","16",28,"1","0","1","62","32",30,"3.9","3.6","4.3","960 000","23"
"280","Rafa Soares","25","1.84","74","Portugal","eibar","defensas","15",63,"0","0","2","62","24",38,"4.1","4.0","4.2","880 000","2"
"283","Jawad El Yamiq","29","1.90","83","Marruecos","valladolid","defensas","13",64,"0","1","3","61","22",39,"5.1","4.4","5.6","1 630 000","1"
"284","Roncaglia","34","1.79","73","Argentina","osasuna","defensas","15",75,"1","1","3","61","25",36,"4.4","4.2","4.5","720 000","960K €"
"286","Iborra","33","1.95","88","España","villarreal","centrocampistas","13",71,"0","0","4","60","28",32,"4.6","4.0","5.3","1 160 000","3"
"287","Pablo Insua","27","1.87","76","España","huesca","defensas","17",79,"0","0","9","60","32",28,"3.8","3.6","4.0","810 000","1"
"288","Jairo Izquierdo","27","1.65","67","España","cadiz","centrocampistas","23",45,"1","0","4","60","34",26,"2.7","3.1","2.4","530 000","775K €"
"290","Claudio Bravo","37","1.85","80","Chile","betis","porteros","12",90,"0","0","0","59","28",31,"4.9","4.7","5.2","1 730 000","900K €"
"291","Carvajal","29","1.73","73","España","real-madrid","defensas","11",78,"0","2","5","58","31",27,"5.3","5.2","5.4","4 680 000","39"
"292","Bacca","34","1.81","79","Colombia","villarreal","delanteros","19",29,"2","0","1","58","29",29,"3.2","3.6","2.9","2 000 000","2"
"293","Coquelin","29","1.78","74","Francia","villarreal","centrocampistas","15",34,"0","0","3","58","24",34,"4.1","4.0","4.3","1 480 000","6"
"294","Denis Cheryshev","30","1.79","74","Rusia","valencia","centrocampistas","15",59,"0","2","3","58","29",29,"3.9","3.6","4.1","1 110 000","4"
"295","Campaña","27","1.79","72","España","levante","centrocampistas","9",83,"1","2","1","57","29",28,"6.3","7.3","5.6","3 220 000","17"
"296","Sergi Roberto","29","1.78","68","España","barcelona","defensas","9",75,"1","2","1","57","24",33,"6.3","6.0","6.6","2 750 000","24"
"297","Aihen Muñoz","23","1.75","72","España","real-sociedad","defensas","16",76,"0","1","6","57","30",27,"3.6","3.8","3.4","590 000","6"
"298","Sergio Gómez","20","1.71","68","España","huesca","centrocampistas","21",21,"0","1","1","57","38",19,"3.2","3.5","2.7","530 000","2"
"300","Laguardia","31","1.85","75","España","alaves","defensas","25",81,"0","0","5","56","30",26,"2.2","2.1","2.4","880 000","5"
"301","Fede San Emeterio","24","1.74","68","España","valladolid","centrocampistas","20",60,"0","0","6","56","32",24,"2.8","2.9","2.7","580 000","4"
"302","Aleñá","23","1.80","73","España","getafe","centrocampistas","16",63,"1","2","2","55","34",21,"3.9","4.9","3.0","3 110 000","14"
"304","Iñigo Pérez","33","1.78","74","España","osasuna","centrocampistas","21",61,"0","0","4","55","28",27,"2.9","3.1","2.7","600 000","620K €"
"306","Guardado","34","1.69","60","México","betis","centrocampistas","17",58,"0","0","1","54","26",28,"3.6","3.3","4.0","1 190 000","2"
"307","Cabaco","25","1.86","75","Uruguay","getafe","defensas","19",70,"0","0","8","54","32",22,"3.0","3.2","2.8","650 000","3"
"308","Foulquier","28","1.83","79","Guadalupe","granada","defensas","24",81,"0","4","7","54","33",21,"2.3","2.8","1.8","640 000","3"
"309","Kevin Rodrigues","27","1.69","70","Portugal","eibar","defensas","18",53,"1","1","1","54","21",33,"3.0","2.6","3.3","560 000","3"
"311","Jony Rodríguez","29","1.79","77","España","osasuna","centrocampistas","16",44,"0","1","0","53","39",14,"3.5","4.3","2.3","1 420 000","4"
"312","Gonalons","32","1.86","76","Francia","granada","centrocampistas","18",62,"0","1","7","53","31",22,"2.9","2.6","3.7","660 000","3"
"313","Piqué","34","1.93","85","España","barcelona","defensas","11",84,"0","0","3","52","28",24,"4.7","4.7","4.8","5 460 000","12"
"315","Juan Foyth","23","1.87","77","Argentina","villarreal","defensas","14",71,"0","0","5","52","28",24,"3.7","4.0","3.4","1 410 000","11"
